0	 0.659592 -0.179502  0.149423	 -0.00027923 -9.94092e-06 -0.000568385
0.009	 0.659592 -0.179504  0.149425	 -0.00013938 -0.000336453 -2.75225e-05
0.01	 0.659592 -0.179504  0.149423	-0.000310953 -0.000163836 -0.000860864
0.011	 0.659593 -0.179502  0.149423	 0.000166772  0.000549815 -0.000368132
0.012	 0.659592 -0.179502  0.149424	-0.000144941 -0.000332173  1.13973e-05
0.013	 0.659593 -0.179499  0.149424	 5.01595e-05  0.000545097 -5.64186e-05
0.014	0.659596 -0.17949 0.149424	 0.00181145   0.0155282 -0.00155912
0.015	 0.659604 -0.179466  0.149427	  0.00803014     0.036787 -0.000992211
0.016	 0.659614 -0.179419  0.149429	 0.00823036   0.0439331 -0.00251093
0.017	 0.659623 -0.179353  0.149432	0.00583197  0.0366138 0.00235197
0.018	 0.659636 -0.179271  0.149427	0.00145627  0.0233086 0.00166019
0.019	 0.659633 -0.179214  0.149405	-0.00677334  0.00411175 -0.00283502
0.02	 0.659617 -0.179168  0.149367	-0.00848284   0.0125789 -0.00992819
0.021	 0.659595 -0.179153  0.149336	-0.00852549   0.0175542  -0.0117705
0.022	 0.659563 -0.179152  0.149306	-0.0121707  0.0208202 -0.0158168
0.023	 0.659521 -0.179167  0.149282	-0.0178605  0.0157296 -0.0140325
0.024	 0.65949 -0.17918 0.149275	 -0.0170088   0.0117481 -0.00565414
0.025	 0.659462 -0.179194  0.149266	 -0.0173675  0.00765616 -0.00557095
0.026	 0.659438 -0.179204  0.149256	 -0.0198545  0.00461604 -0.00974536
0.027	  0.65943 -0.179194  0.149255	-0.0169856  0.0100499 -0.0100636
0.028	 0.659421 -0.179174  0.149251	 -0.015521  0.0146138 -0.0129903
0.029	 0.659417 -0.179139   0.14925	-0.0130191  0.0211801 -0.0119192
0.03	 0.659411 -0.179101  0.149248	-0.0124034    0.02613 -0.0104181
0.031	 0.659402 -0.179062  0.149248	 -0.0135219   0.0298034 -0.00982464
0.032	 0.659388 -0.179013   0.14924	 -0.0141761    0.034654 -0.00923458
0.033	  0.65937 -0.178972   0.14923	-0.0180281  0.0366197 -0.0123033
0.034	 0.659347 -0.178938  0.149217	-0.0198635  0.0337196 -0.0113088
0.035	 0.659322 -0.178902  0.149202	-0.0223927  0.0314766 -0.0132552
0.036	 0.659296 -0.178871  0.149181	 -0.023485  0.0300166 -0.0141871
0.037	 0.659273 -0.178834  0.149162	-0.0226748  0.0310837 -0.0147527
0.038	 0.659248 -0.178806  0.149147	-0.0221528  0.0311414 -0.0134087
0.039	 0.659224 -0.178772  0.149134	-0.0214998   0.032796 -0.0119264
0.04	 0.659197 -0.178733  0.149118	 -0.0202246   0.0350511 -0.00857771
0.041	  0.65917 -0.178693  0.149108	 -0.0222456   0.0347991 -0.00784558
0.042	 0.659142 -0.178652  0.149099	 -0.0237122   0.0356339 -0.00788394
0.043	 0.659118 -0.178601  0.149092	  -0.02384  0.0417125 -0.0069079
0.044	 0.659094 -0.178551  0.149089	 -0.0224206   0.0454069 -0.00537376
0.045	  0.65907 -0.178502  0.149082	 -0.0218788   0.0478195 -0.00322277
0.046	 0.659046 -0.178448  0.149074	 -0.0220043   0.0503327 -0.00463364
0.047	0.659023  -0.1784 0.149065	 -0.0207762   0.0498852 -0.00431816
0.048	 0.658998 -0.178349  0.149058	-0.0234117  0.0487332 -0.0061767
0.049	  0.65897 -0.178298  0.149046	-0.0239042  0.0503464 -0.0072884
0.05	 0.658938 -0.178252  0.149035	 -0.0266575   0.0474343 -0.00709126
0.051	 0.658908 -0.178204  0.149022	 -0.0286397   0.0468801 -0.00978905
0.052	 0.658875 -0.178158  0.149009	-0.0301866  0.0483005 -0.0112055
0.053	 0.658844 -0.178107  0.149001	-0.0304417   0.050052 -0.0112136
0.054	 0.658813 -0.178041  0.148982	-0.0311192  0.0542789  -0.014744
0.055	 0.658785 -0.177972  0.148965	-0.0294743  0.0573731 -0.0141772
0.056	 0.658757 -0.177899   0.14895	-0.0298463  0.0624284 -0.0151157
0.057	 0.658726 -0.177825  0.148935	-0.0315393  0.0661211 -0.0187974
0.058	0.658696 -0.17775 0.148924	-0.028466 0.0705487 -0.011797
0.059	 0.658662 -0.177677  0.148917	 -0.0298472   0.0721932 -0.00823317
0.06	0.658623 -0.17761  0.14891	 -0.0331865   0.0721628 -0.00876164
0.061	  0.65858 -0.177549  0.148901	 -0.0382579   0.0660272 -0.00906233
0.062	 0.658537 -0.177481   0.14889	-0.0405738  0.0650915 -0.0096348
0.063	 0.658499 -0.177412  0.148886	 -0.0386342   0.0652844 -0.00675761
0.064	 0.658452 -0.177336   0.14886	-0.0410479  0.0697721 -0.0122361
0.065	 0.658409 -0.177257  0.148841	-0.0413095  0.0760138 -0.0149154
0.066	 0.658367 -0.177172  0.148824	-0.0407368  0.0791501 -0.0137636
0.067	  0.65832 -0.177087  0.148803	 -0.043354  0.0808666 -0.0174481
0.068	 0.658276 -0.177005   0.14879	-0.0454373  0.0789545 -0.0173769
0.069	 0.658226 -0.176919  0.148773	-0.0469727  0.0832319 -0.0187278
0.07	0.658176 -0.17683 0.148757	-0.0477635  0.0844217 -0.0174319
0.071	 0.658125 -0.176747  0.148745	-0.0500109  0.0814315 -0.0148972
0.072	 0.658074 -0.176659  0.148737	-0.0500159  0.0802516 -0.0125691
0.073	 0.658024 -0.176574  0.148733	-0.0514053  0.0826357 -0.0133684
0.074	 0.657969 -0.176488  0.148722	-0.0532188  0.0838839 -0.0131286
0.075	 0.657917 -0.176396  0.148712	-0.0519906  0.0878909 -0.0109346
0.076	  0.65786 -0.176305  0.148697	-0.0545427   0.086988 -0.0126604
0.077	 0.657803 -0.176215  0.148687	-0.0551846  0.0854373 -0.0120103
0.078	 0.657746 -0.176121  0.148674	 -0.054682  0.0894028 -0.0128983
0.079	 0.657688 -0.176029  0.148659	 -0.0542518   0.0888233 -0.00892556
0.08	 0.657629 -0.175935  0.148646	 -0.0549903   0.0906173 -0.00937151
0.081	 0.657573 -0.175836  0.148638	 -0.0520967   0.0914118 -0.00603099
0.082	0.657515 -0.17573 0.148621	-0.0535866  0.0942732  -0.010082
0.083	 0.657459 -0.175628  0.148613	 -0.0530733   0.0951001 -0.00649354
